Summary data on annual food imports value and volume by food category and source country 1999-2017,,,,,,,,,,,,,,,,,,,,,,,Annual growth,,,,,,,,,,,,,,,,,,,
,Food group,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Avg.growth
,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Percent,,,,,,,,,,,,2007-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total U.S. food imports 1/,,,"43,105.80","45,416.50","46,063.10","49,209.30","55,328.90","61,531.40","67,803.60","74,649.90","81,076.20","88,722.20","81,220.70","91,322.50","107,576.90","111,802.80","115,000.60","125,188.60","126,777.60","129,119.30","137,236.60",,5.4,1.4,6.8,12.4,11.2,10.2,10.1,8.6,9.4,-8.5,12.4,17.8,3.9,2.9,8.9,1.3,1.8,6.3,,5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live meat animals,,,"1,189.70","1,419.00","1,771.20","1,723.90","1,276.70","1,134.30","1,672.00","2,172.00","2,588.00","2,266.40","1,655.50","2,007.10","1,886.50","2,192.00","2,190.20","3,008.60","2,772.50","2,102.90","2,020.00",,19.3,24.8,-2.7,-25.9,-11.2,47.4,29.9,19.2,-12.4,-27,21.2,-6,16.2,-0.1,37.4,-7.8,-24.2,-3.9,,1.1
Meats,,,"3,260.50","3,827.70","4,256.20","4,283.50","4,426.80","5,718.50","5,751.90","5,243.60","5,367.30","5,059.80","4,612.10","5,087.80","5,755.20","6,245.20","6,529.80","8,940.40","9,991.70","8,589.10","8,877.60",,17.4,11.2,0.6,3.3,29.2,0.6,-8.8,2.4,-5.7,-8.8,10.3,13.1,8.5,4.6,36.9,11.8,-14,3.4,,5.7
Fish and shellfish 2/,,,"8,859.80","9,879.80","9,663.30","9,963.30","10,859.90","11,106.30","11,840.20","13,112.30","13,434.60","13,912.00","12,933.90","14,516.70","16,459.40","16,467.50","17,784.30","20,053.50","18,520.80","19,260.70","21,324.10",,11.5,-2.2,3.1,9,2.3,6.6,10.7,2.5,3.6,-7,12.2,13.4,0,8,12.8,-7.6,4,10.7,,4.8
Dairy,,,930.3,922.3,995.8,"1,008.80","1,110.30","1,292.30","1,388.40","1,405.70","1,500.80","1,595.60","1,353.40","1,347.20","1,502.10","1,604.20","1,649.10","1,844.30","1,893.50","1,875.80","1,827.20",,-0.9,8,1.3,10.1,16.4,7.4,1.2,6.8,6.3,-15.2,-0.5,11.5,6.8,2.8,11.8,2.7,-0.9,-2.6,,2.7
Vegetables,,,"3,631.60","3,771.40","4,156.60","4,391.10","5,082.40","5,730.00","6,043.10","6,619.30","7,256.00","7,800.60","7,525.20","8,705.60","9,666.60","9,945.60","10,733.50","10,929.70","11,290.20","12,469.20","12,743.00",,3.8,10.2,5.6,15.7,12.7,5.5,9.5,9.6,7.5,-3.5,15.7,11,2.9,7.9,1.8,3.3,10.4,2.2,,6.3
Fruits,,,"4,764.50","4,629.50","4,665.20","5,067.60","5,557.70","5,962.40","6,873.80","7,707.10","9,217.30","9,888.20","9,639.80","10,649.00","11,973.90","12,537.90","13,602.30","14,807.70","15,954.90","17,157.00","18,383.10",,-2.8,0.8,8.6,9.7,7.3,15.3,12.1,19.6,7.3,-2.5,10.5,12.4,4.7,8.5,8.9,7.7,7.5,7.1,,8.3
Nuts,,,793.9,808.7,670.2,700.5,775.6,"1,078.40","1,121.90","1,099.40","1,181.40","1,350.70","1,278.30","1,461.70","1,863.20","1,999.60","2,000.20","2,360.50","2,767.30","2,870.80","3,300.60",,1.9,-17.1,4.5,10.7,39,4,-2,7.5,14.3,-5.4,14.3,27.5,7.3,0,18,17.2,3.7,15,,10.9
"Coffee, tea, and spices",,,"3,603.70","3,441.80","2,400.70","2,455.00","2,871.90","3,144.30","3,770.80","4,194.90","4,791.20","5,580.80","5,160.30","6,265.00","9,715.80","8,725.70","7,633.20","8,298.80","8,536.20","8,310.90","9,068.80",,-4.5,-30.2,2.3,17,9.5,19.9,11.2,14.2,16.5,-7.5,21.4,55.1,-10.2,-12.5,8.7,2.9,-2.6,9.1,,8.6
Grains,,,"2,659.50","2,734.80","2,989.80","3,342.80","3,618.20","4,010.50","4,240.70","4,910.10","5,914.80","7,689.60","6,846.10","7,137.50","8,062.80","9,111.10","10,257.00","10,030.90","10,030.20","10,178.60","10,860.80",,2.8,9.3,11.8,8.2,10.8,5.7,15.8,20.5,30,-11,4.3,13,13,12.6,-2.2,0,1.5,6.7,,8
Vegetable oils,,,"1,356.90","1,362.50","1,177.00","1,301.60","1,506.50","2,241.00","2,362.60","2,818.30","3,516.70","5,694.60","4,039.40","4,508.80","6,793.60","6,235.90","6,664.50","7,336.60","6,304.00","6,521.60","7,224.70",,0.4,-13.6,10.6,15.7,48.8,5.4,19.3,24.8,61.9,-29.1,11.6,50.7,-8.2,6.9,10.1,-14.1,3.5,10.8,,11.7
Sugar and candy,,,"1,617.70","1,571.60","1,580.90","1,842.60","2,130.80","2,111.30","2,473.70","3,021.20","2,606.20","3,011.00","3,081.20","4,107.40","5,207.40","4,783.50","4,327.40","4,582.30","4,705.30","4,693.20","4,720.50",,-2.8,0.6,16.6,15.6,-0.9,17.2,22.1,-13.7,15.5,2.3,33.3,26.8,-8.1,-9.5,5.9,2.7,-0.3,0.6,,5
Cocoa and chocolate,,,"1,522.50","1,404.50","1,535.90","1,760.90","2,439.20","2,484.40","2,750.60","2,659.20","2,661.60","3,298.80","3,476.20","4,295.20","4,680.60","4,095.70","4,158.80","4,728.00","4,859.70","5,080.60","5,006.50",,-7.8,9.4,14.6,38.5,1.9,10.7,-3.3,0.1,23.9,5.4,23.6,9,-12.5,1.5,13.7,2.8,4.5,-1.5,,6.4
Other edible products,,,"2,121.50","2,101.70","2,252.00","2,482.00","3,637.20","4,784.40","5,536.40","5,963.10","6,080.00","6,700.80","6,111.30","6,781.60","8,133.20","10,977.60","9,831.00","9,715.80","9,591.60","9,351.00","10,133.90",,-0.9,7.1,10.2,46.5,31.5,15.7,7.7,2,10.2,-8.8,11,19.9,35,-10.4,-1.2,-1.3,-2.5,8.4,,5.7
Beverages 3/,,,"4,411.80","4,815.90","5,101.30","5,794.70","6,597.50","7,024.30","7,887.50","9,212.10","9,912.70","9,832.90","8,721.00","9,262.80","10,142.90","10,858.50","11,247.60","11,964.00","12,785.70","13,492.90","14,382.90",,9.2,5.9,13.6,13.9,6.5,12.3,16.8,7.6,-0.8,-11.3,6.2,9.5,7.1,3.6,6.4,6.9,5.5,6.6,,4.3
Liquors,,,"2,381.90","2,725.50","2,847.00","3,091.10","3,438.20","3,709.20","4,089.90","4,511.50","5,047.70","5,040.40","4,787.00","5,189.00","5,733.80","6,023.00","6,391.70","6,587.50","6,774.20","7,165.10","7,362.90",,14.4,4.5,8.6,11.2,7.9,10.3,10.3,11.9,-0.1,-5,8.4,10.5,5,6.1,3.1,2.8,5.8,2.8,,4.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food totals 4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total animal foods,,,"14,240.30","16,048.80","16,686.40","16,979.50","17,673.70","19,251.30","20,652.60","21,933.60","22,890.70","22,833.80","20,554.90","22,958.80","25,603.20","26,508.90","28,153.40","33,846.80","33,178.50","31,828.50","34,048.80",,12.7,4,1.8,4.1,8.9,7.3,6.2,4.4,-0.2,-10,11.7,11.5,3.5,6.2,20.2,-2,-4.1,7,,4.4
Total plant foods,,,"22,071.80","21,826.30","21,428.40","23,344.00","27,619.50","31,546.60","35,173.60","38,992.60","43,225.20","51,015.10","47,157.80","53,911.80","66,097.10","68,412.50","69,207.90","72,790.30","74,039.30","76,632.80","81,442.00",,-1.1,-1.8,8.9,18.3,14.2,11.5,10.9,10.9,18,-7.6,14.3,22.6,3.5,1.2,5.2,1.7,3.5,6.3,,7.2
Total beverages,,,"6,793.70","7,541.40","7,948.30","8,885.80","10,035.70","10,733.50","11,977.40","13,723.60","14,960.40","14,873.30","13,508.00","14,451.80","15,876.60","16,881.40","17,639.30","18,551.50","19,559.90","20,658.00","21,745.90",,11,5.4,11.8,12.9,7,11.6,14.6,9,-0.6,-9.2,7,9.9,6.3,4.5,5.2,5.4,5.6,5.3,,4.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ Values are obtained by HS-4 or 6 codes, by calendar year.  Includes bulk, intermediate, and consumer foods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" See Appendix for the HS-2, HS-4, and HS-6 codes corresponding to each food group.   2/ Includes prepared fish 1604 and 1605 3/ Excludes liquors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 / Excludes items not in total U.S. food import categories above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: USDA, www.fas.usda.gov/gats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
