Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,avg
Mexico,"5,421.30","5,833.20","5,943.90","6,162.80","7,023.50","7,993.10","9,106.60","10,274.30","11,138.90","11,801.10","12,210.90","14,427.90","16,813.50","17,393.80","18,701.50","20,592.90","22,445.80","24,339.60","26,200.30","13,359.21"
Canada,"9,001.50","9,853.50","10,991.90","11,558.50","11,607.20","12,732.90","13,665.90","14,794.70","16,410.80","18,997.60","15,699.40","17,375.60","19,799.10","20,541.20","21,927.60","23,249.50","22,434.00","22,609.80","23,541.00","16,673.25"
China,979.1,"1,119.90","1,232.50","1,590.00","2,111.40","2,463.80","2,850.40","3,660.20","4,283.90","4,910.50","4,203.00","4,854.10","5,581.80","5,937.20","6,006.90","6,020.00","5,896.40","5,866.20","6,159.70","3,985.63"
France(*),"1,980.70","1,866.80","1,836.70","2,109.10","2,492.30","2,578.50","2,797.50","3,164.80","3,588.60","3,569.40","2,893.30","3,146.90","3,650.00","3,913.60","4,101.00","4,274.70","4,411.60","4,775.60","5,100.30","3,276.39"
Italy(*),"1,450.70","1,571.40","1,586.90","1,825.60","2,128.30","2,346.30","2,641.10","2,862.20","3,096.70","3,286.20","2,939.90","3,041.10","3,501.10","3,618.10","3,868.20","4,132.20","4,184.20","4,365.80","4,586.40","3,001.71"
Chile,"1,180.40","1,388.20","1,375.60","1,547.50","1,757.10","1,909.20","2,157.70","2,576.60","2,684.70","2,846.20","2,683.90","2,678.40","3,030.90","3,127.20","3,819.40","4,118.70","4,068.00","4,531.90","4,582.40","2,740.21"
India,945,988.3,868.3,964.4,"1,032.80","1,138.30","1,136.80","1,200.50","1,194.80","1,511.60","1,266.80","1,685.10","3,001.50","5,710.90","4,307.30","4,332.30","3,735.50","3,363.70","4,468.30","2,255.38"
Indonesia,959.9,923,868.1,912.8,"1,045.30","1,246.10","1,449.80","1,555.10","1,633.70","2,155.90","1,928.20","2,131.80","2,500.50","2,490.20","2,790.50","3,565.10","3,508.00","3,623.20","4,320.10","2,084.59"
Vietnam,293.3,493.9,627.2,795.7,964.8,923.9,"1,027.90","1,116.30","1,317.90","1,474.90","1,368.60","1,771.50","2,265.70","2,410.90","2,750.40","3,344.70","3,106.70","3,484.40","3,696.30","1,749.21"
Ireland,339.1,321,287.2,333.7,"1,295.10","2,008.20","2,449.60","2,506.70","2,469.20","2,573.70","2,252.70","2,322.90","2,408.20","2,465.90","2,717.30","2,840.80","3,264.30","3,188.90","3,353.30","2,073.57"
Thailand,"2,023.40","2,253.00","2,050.80","1,818.80","2,009.70","2,021.40","2,207.10","2,614.90","2,673.60","3,100.70","3,138.10","3,539.90","3,919.00","3,526.80","3,277.90","3,174.50","3,130.40","3,178.80","3,226.90","2,783.46"
Australia(*),"1,169.60","1,477.10","1,710.70","1,871.80","2,082.20","2,442.50","2,394.40","2,441.20","2,597.30","2,317.80","2,230.70","2,222.80","2,251.00","2,554.60","2,616.70","3,742.30","4,143.40","3,063.50","3,123.10","2,444.88"
Brazil,"1,304.90","1,063.70",901.3,"1,015.30","1,381.50","1,449.50","1,764.70","1,966.10","2,317.50","2,244.40","2,029.40","2,487.30","3,668.70","2,990.80","2,910.20","3,503.80","3,097.80","2,884.10","2,935.90","2,206.15"
United Kingdom,"1,152.90","1,157.10","1,103.20","1,175.00","1,230.10","1,351.20","1,364.30","1,440.00","1,568.10","1,596.90","1,574.70","1,736.50","1,881.60","2,039.60","2,183.90","2,278.30","2,291.40","2,426.10","2,512.50","1,687.55"
New Zealand(*),866.7,960.7,"1,070.60","1,125.10","1,188.80","1,475.30","1,518.00","1,469.20","1,453.30","1,511.10","1,362.60","1,495.10","1,688.10","1,865.30","1,854.70","2,222.30","2,508.10","2,315.80","2,315.10","1,592.94"
Peru,251.3,218,223.5,263.3,309,392.6,494.2,647.4,757.3,900.7,906.8,"1,092.90","1,504.10","1,450.60","1,534.40","1,915.60","1,937.70","2,058.90","2,217.50","1,003.99"
Spain,758.3,721,691.5,775.6,903.4,944.7,"1,030.90","1,113.50","1,190.00","1,213.70","1,088.80","1,249.90","1,330.40","1,428.70","1,471.80","1,786.80","1,809.60","2,019.90","2,191.80","1,248.44"
Guatemala,671.1,686.8,590,642.8,735.4,754.6,872,857.1,989.7,"1,224.80","1,202.90","1,290.20","1,759.20","1,885.70","1,701.60","1,830.90","1,869.30","1,844.20","2,001.80","1,232.11"
Netherlands,"1,094.60","1,269.90","1,356.20","1,514.40","1,637.40","1,648.40","1,604.40","1,819.10","1,992.30","1,899.30","1,682.70","1,811.60","1,878.60","1,932.50","1,887.90","1,840.70","1,883.30","1,947.10","1,932.00","1,717.49"
Colombia,868.5,807.8,642.6,655.8,691.3,749.9,"1,014.20","1,035.10","1,023.90","1,265.10","1,257.30","1,436.30","1,923.20","1,574.80","1,568.80","1,785.50","1,814.70","1,681.20","1,897.90","1,247.05"
Germany(*),632,634.7,611.8,658,753,872,960.2,"1,045.80","1,141.90","1,265.70","1,156.60","1,253.40","1,475.70","1,465.80","1,543.20","1,536.40","1,473.40","1,588.60","1,818.40","1,151.93"
Costa Rica,850.6,847.7,841.8,839.2,882.8,896,911.1,"1,145.90","1,222.40","1,199.70","1,110.90","1,296.00","1,453.60","1,562.80","1,506.80","1,607.20","1,489.90","1,615.00","1,615.40","1,204.99"
Ecuador,"1,014.10",713.9,762.3,839.9,917.4,879,963.5,"1,074.50","1,092.40","1,194.00","1,368.50","1,370.10","1,696.70","1,628.20","1,725.20","2,045.80","1,894.30","1,732.10","1,543.50","1,287.13"
Philippines,624.9,607.8,554.3,573.3,660.6,721.1,777.4,851.2,933,"1,160.50",922,"1,104.60","1,644.00","1,462.90","1,256.60","1,440.50","1,385.60","1,345.20","1,489.70","1,027.12"
Argentina,641.4,664.1,627.3,600.4,554.3,610.7,782.6,915.7,987.6,"1,093.60",979.7,"1,098.10","1,531.60","1,607.90","1,606.20","1,371.10","1,516.50","1,431.70","1,471.70","1,057.48"
Switzerland(*),138.7,133.7,125.4,160.9,192.4,224.4,228.1,257.6,378.5,702,657.1,656.1,765.4,854.7,991.3,"1,109.10","1,354.60","1,266.60","1,302.30",605.21
Austria,43.7,69.4,118.2,113.6,209.8,370.4,475.4,795.2,639.5,376.5,375.5,440.6,523.1,602.5,585.2,580.2,695.6,792.2,967.6,461.80
Honduras,233.9,361.7,338.1,347.4,335.2,388.4,434.9,419.2,499.9,557.2,492.4,557.2,767.8,843.1,736.8,796,810.3,860.5,925,563.42
Cote d'Ivoire,296.3,258.3,226.5,279.7,410.2,467.9,615.6,470.5,438.1,632.4,639.9,786.7,877.1,747,826.9,960.3,943,"1,056.50",912.6,623.45
Japan,414.8,428.5,373.2,402.5,429.6,456.1,508.5,533.5,563.3,652.9,663.5,686.2,726.6,740.8,729.1,748.6,790.8,876.5,886.2,611.12
Norway(*),199.4,195.7,159.6,169.1,180.1,162.5,170.9,207.8,233.8,217.3,385.2,570.1,402.3,332.8,396.3,496,553.5,693.5,854,346.31
Turkey,174.8,142.5,152.4,148.9,212.8,202.7,231.5,265.3,317.8,329.8,312.6,344.3,386.6,410.7,547.5,568.1,611.4,837.2,797.3,368.12
"Korea, South",176,196.8,210.2,227,232.1,253.9,294.5,310.2,324,352.7,351.4,408.7,471.2,490.5,565.4,590.8,627,686,739.6,395.16
Belgium-Luxembourg(*),141.6,133.9,154.3,158.4,194.4,254.3,297.8,353.4,374.2,391,339.5,420.1,527.8,560.2,571.1,668.3,744.1,722.7,727.8,407.10
Nicaragua,156.2,212.3,173.4,180.1,185.2,231.3,246.4,307.6,340.4,414.3,369.5,480.4,580.1,617.6,485.5,665.8,638.7,629.4,709,401.22
Malaysia,286.3,233.6,206.1,232.2,329.2,542.3,597,733.4,"1,046.10","1,743.10","1,280.10","1,635.40","2,273.10","1,776.60","1,398.50","1,353.90",971.5,774.1,683.5,952.42
Poland,99.9,122.9,147,191.1,227.1,236.3,228.6,230.5,268.6,293.3,288.9,314.8,311.8,366,372.6,419.4,452.2,470.4,619.7,297.95
Denmark(*),374.6,427.5,417.9,424.5,472.7,452.9,411.6,374.7,383,385.6,415.8,418.1,478.8,447.3,552.4,589.1,534.2,578.5,601.6,460.04
Russia,381.6,334.2,297.7,348,337.8,312.1,405.9,499.6,574,447.5,464.2,436.5,379.7,316.9,386.3,374.9,378.4,477.8,526.3,404.18
Taiwan,360.4,324.6,324.2,251.5,248,272.6,272.7,262.4,280.1,328.1,292.7,310.8,368,387.5,391.6,411.4,416.8,447.3,497.1,339.36
Madagascar,27,37.9,83.9,120.9,181.3,138,38.8,35.7,40.3,35.3,35.4,37,36.5,53.9,59.8,83.8,129.2,238.5,419.8,96.47
Dominican Republic,195.6,206.1,219.1,239.9,262.5,235.8,239.8,304.5,300,275.1,366.3,405.2,428.9,482,353.6,369.8,407.2,406.4,413.6,321.65
Greece,92.8,110.7,108.5,137.9,133.8,145.2,164.9,172.3,266.5,218.4,189.9,214.9,241.7,238.1,277.3,288.2,347.2,384.6,396.3,217.33
Sweden,271.1,276.9,343.6,377.7,400.7,422.5,467.4,429.1,472.6,479.3,483,494.5,501,477.6,461.9,473.2,400,378.7,368.9,419.98
Uruguay,78.2,90.7,79.7,50.4,123.3,362,498.4,316.4,347.7,132.5,133.5,129.5,188.3,224.6,262.1,267.6,387.4,312.9,330.3,227.13
Israel(*),99.8,96.9,106.3,114.5,141.5,169.3,160.3,159.1,177.5,183.4,193.8,212.6,235,266.4,271.9,295.7,298.4,321,324.3,201.46
South Africa,130.4,163.2,126.5,154.2,169.8,173,194.4,212.1,181.7,180.8,185.7,227.4,218.3,262,253.4,268.9,280.1,268.3,319.9,208.95
Ghana,41.9,70.3,57,27.9,11.4,22.9,35,75,58.7,35.5,100.2,193.7,281.7,190.3,197.9,212.7,238.9,249.4,254,123.92
Iceland,239.4,190,152.4,167.7,147.7,157.7,142.6,143.6,127.3,104,92.1,107.2,107.7,140.8,162.5,172.9,185,215.2,229.3,157.11
Sri Lanka,34.2,40.2,31.6,32.9,39.7,43.2,42.9,53.7,54.8,52.7,46.3,64.5,80.9,115.7,122.1,162.8,216.8,208.9,227.5,87.97
Morocco,67.9,62.4,57.2,71.1,91.3,90.3,88.1,102.3,118.4,139.6,115.6,163.6,191.1,146.4,166.1,210.1,239.1,200.6,202.4,132.82
El Salvador,122.2,182.8,100.6,76.3,109.1,100.2,150.1,145.7,182.2,237.7,198.9,216.9,357,349.5,213,191.1,223.9,210.5,188.6,187.17
Ethiopia(*),23.7,22.3,21,17.6,25.2,33.3,47.8,53.2,69.5,117,82.3,99.5,118.5,96.8,103.5,110.3,147.7,132.8,167.9,78.42
Portugal,79.8,72.5,70.4,89.7,85.2,91.8,104,106.9,109.7,108.9,94.5,105.6,120,116.1,127.5,140,151.4,144.5,160.4,109.42
Kenya,34.7,34,38.6,38.1,40.2,49.2,52,56.3,50.7,63.7,57.5,75.9,90.1,101.7,84.2,110,132.9,122.4,157.7,73.15
Jamaica,76.9,68.8,66.4,77.4,79.8,76.4,90.3,95.3,100,108.8,104,122,121.7,107.4,92.9,101.3,118.7,121.6,143.3,98.58
Latvia,1.2,1.6,2,2.7,2.8,9.3,23.1,15.4,9.3,15.7,31.2,40.1,117.2,142,131.7,145.6,147.4,166.8,142.4,60.39
Panama,175.7,143.4,142.3,136.9,147.8,139.6,170.6,160.2,156.1,154.3,118.5,141.5,154.6,159.5,144.9,137.3,136,139.5,133.8,146.97
Hong Kong,80.9,91.1,82,98.2,76.3,68,75,79.7,78.2,81.3,73.1,77.8,85.5,83.4,94.2,94.2,116.4,126,117.5,88.36
Pakistan,39.1,39.5,37.3,29.1,33.1,36.7,38.2,46.9,53.2,80.8,62.2,65.7,85,129.9,124.8,124.5,128.5,110.2,116.8,72.71
Ukraine,1.5,1.6,2.8,4.9,8.6,10,10.9,16.4,15.3,16.6,16.7,14.8,16.5,27.1,35.7,74.5,146,81.9,113.9,32.41
Bolivia,13.7,16,15.9,20.4,20.8,30.4,30.9,32.3,37.6,60,75.4,92.6,111.7,107.7,190.9,243.8,155.3,105.7,108.4,77.34
"Other Pacific Islands, NEC(*)",23.1,27.3,68.4,62.8,65.4,82.6,80.2,79.2,68.1,71.5,81.4,88,40.1,83.8,79.7,80.2,91.8,97.7,104.6,72.42
Egypt,14.2,14.5,15.4,17.3,17.7,19.8,25.2,38.6,45.9,45.7,78,57.8,70.3,71.5,72,77.3,87.8,88.7,99.3,50.37
Rest of world,"1,187.20","1,337.70","1,253.60","1,239.20","1,322.30","1,446.50","1,470.90","1,551.00","1,534.10","1,584.80","1,418.70","1,488.10","1,580.40","1,548.30","1,744.50","1,868.70","2,042.50","1,836.10","1,944.90","1,547.34"
Grand Total,"43,105.80","45,416.50","46,063.10","49,209.30","55,328.90","61,531.40","67,803.60","74,649.90","81,076.20","88,722.20","81,220.70","91,322.50","107,576.90","111,802.80","115,000.60","125,188.60","126,777.60","129,119.30","137,236.60","86,218.55"
